                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9862,                 2.1094,                 1.7289,                0.61584,                0.36189,                0.39618,                0.19765,                 1.8124,                 2.0711,                 1.8235,             0.00084162,             0.00084162,             0.00084162
                     36,                 2.0551,                 2.2359,                 1.8126,                 0.2808,                0.53409,                0.37876,                0.17767,                 1.7888,                 2.1401,                 1.8048,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.9392,                 2.0644,                 1.7062,                0.33633,                0.47571,                0.41139,                0.17726,                  1.842,                  2.132,                  1.845,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.9244,                 2.1194,                 1.7207,                0.27299,                0.28492,                0.31406,                0.15892,                 1.8151,                 2.3097,                 1.8442,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.9047,                 2.0274,                 1.6889,                0.31567,                0.36245,                0.39509,                0.20692,                 1.7242,                 1.9688,                 1.7758,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.8952,                 2.0921,                 1.6722,                0.57595,                0.33516,                0.51642,                0.23739,                 1.7859,                 1.8625,                 1.8396,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.9174,                 2.0385,                 1.7275,                0.38604,                0.45731,                0.45402,                0.23855,                 1.8024,                 1.8194,                 1.8812,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.9492,                 2.0258,                 1.6919,                0.51059,                0.34721,                0.39546,                0.17745,                 1.7997,                 1.9531,                 1.8167,               0.000755,               0.000755,               0.000755
                     43,                 1.9692,                  1.998,                 1.7228,                0.36603,                0.37832,                0.43535,                0.21245,                 1.7962,                 1.9748,                 1.7759,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.8795,                 1.9878,                 1.6766,                0.57019,                 0.4166,                0.51783,                0.26739,                 1.7607,                 1.8532,                 1.7577,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.8772,                 1.9949,                 1.7011,                0.39839,                0.40416,                0.46768,                0.22222,                 1.7156,                 1.8566,                 1.7411,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.9072,                 1.9973,                 1.6577,                0.49127,                0.51834,                0.52266,                0.27954,                 1.7849,                  1.873,                 1.8127,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.9299,                 1.9997,                  1.682,                0.55322,                0.43994,                   0.51,                0.20881,                 1.9703,                 1.9196,                  1.913,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.8836,                 2.0312,                 1.7165,                0.46622,                0.57008,                0.53817,                0.26678,                  1.794,                 1.9325,                 1.8332,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.9872,                 2.0698,                 1.6874,                0.32837,                 0.4049,                 0.4297,                0.17424,                 1.9139,                 1.9136,                 1.8314,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.8621,                 1.9392,                  1.666,                0.48768,                0.50568,                0.46133,                0.23763,                 1.7151,                 1.9757,                  1.776,               0.000656,               0.000656,               0.000656
                     51,                 1.8574,                 1.9792,                 1.6898,                0.59809,                0.47703,                0.54816,                0.28132,                 1.6964,                 1.8134,                  1.747,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.8469,                 1.8819,                 1.6305,                0.43586,                0.42732,                0.40791,                0.18865,                 1.8758,                 1.9397,                 1.8955,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.7611,                  1.801,                 1.5958,                0.57358,                0.50676,                0.51203,                0.26618,                 1.7414,                 1.8461,                 1.7898,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.8156,                 1.8974,                 1.6432,                0.37278,                0.42614,                0.46247,                0.21288,                 1.8719,                 1.8952,                 1.8943,              0.0006065,              0.0006065,              0.0006065
